hardness,yield_strength,ultimate_tensile_strength,elongation,compressive_strength,plasticity,FCC,BCC,HCP,IM,Ag,Al,B,C,Ca,Co,Cr,Cu,Fe,Ga,Ge,Hf,Li,Mg,Mn,Mo,N,Nb,Nd,Ni,Pd,Re,Sc,Si,Sn,Ta,Ti,V,W,Y,Zn,Zr,ρ (g/cm<sup>3</sup>),E (GPa),σ(MPa) at 1000 C,σ(MPa) at 1200 C,G (GPa),C11 (GPa),Fracture Toughness,ductility,Test Type,phase_FCC_only,phase_BCC_only,phase_dual_FCC_BCC,phase_complex,total_phases,Cu_Fe_ratio,Al_Ni_ratio,Cr_Co_ratio,num_elements,mixing_entropy,avg_atomic_radius,atomic_size_difference,avg_electronegativity,principal_element_fraction,alloy_type_binary,alloy_type_ternary,alloy_type_quaternary,alloy_type_complex,principal_Al,principal_Co,principal_Cr,principal_Cu,principal_Fe,principal_Ni,Cu_Fe_interaction,Cu_Fe_sum,Al_Ni_interaction,Al_Ni_sum,Cr_Co_interaction,Cr_Co_sum,Ti_V_interaction,Ti_V_sum
1142.857,0.0,0.0,0.0,3620.0,3.04,0.0,1.0,0.0,0.0,0.0,0.4117523318764186,-0.30618621784789735,-0.21729733479328625,0.0,-2.3164499389287743,-1.8476061151622782,0.8228116741033621,0.721699256484497,-0.177852517788277,0.0,-0.2227326653489641,-0.09805806756909201,-0.24228316512837222,-0.6012911360123924,-0.4844166198644441,-0.22360679774997896,-0.098058067569092,0.0,0.28052781436050367,0.0,0.0,0.0,-0.2894071507412803,-0.13206763594884358,0.0,1.24379810202119,-0.468233939178723,0.0,-0.26049131864716085,-0.26860675777395276,-0.24530326865526442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,1,0,0,1.0,0.9999999500000025,0.9999999500000025,0.0,5,1.6094379124341005,133.6,9.478396488858229,1.7580000000000002,0.2,False,False,False,True,1,0,0,0,0,0,0.04000000000000001,0.4,0.04000000000000001,0.4,0.0,0.0,0.0,0.2
938.7755,0.0,0.0,0.0,3220.0,2.36,0.0,1.0,0.0,0.0,0.0,0.4117523318764186,-0.30618621784789735,-0.21729733479328625,0.0,-2.3164499389287743,0.8890448439927906,0.8228116741033621,0.721699256484497,-0.177852517788277,0.0,-0.2227326653489641,-0.09805806756909201,-0.24228316512837222,-0.6012911360123924,-0.4844166198644441,-0.22360679774997896,-0.098058067569092,0.0,0.28052781436050367,0.0,0.0,0.0,-0.2894071507412803,-0.13206763594884358,0.0,-1.0637093844920058,-0.468233939178723,0.0,-0.26049131864716085,-0.26860675777395276,-0.24530326865526442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,1,0,0,1.0,0.9999999500000025,0.9999999500000025,20000000.0,5,1.6094379124341005,129.8,6.764613810115105,1.7820000000000005,0.2,False,False,False,True,1,0,0,0,0,0,0.04000000000000001,0.4,0.04000000000000001,0.4,0.0,0.2,0.0,0.0
0.0,0.0,0.0,0.0,3012.0,51.6,1.0,1.0,0.0,0.0,0.0,-1.2040512202429665,-0.30618621784789735,-0.21729733479328625,0.0,0.758760783959232,0.8343118248096892,-2.321737275192084,0.6496281385532847,-0.177852517788277,0.0,-0.2227326653489641,-0.09805806756909201,-0.24228316512837222,-0.6012911360123924,3.2505173395754663,-0.22360679774997896,-0.098058067569092,0.0,0.22373731199076102,0.0,0.0,0.0,-0.2894071507412803,-0.13206763594884358,0.0,-1.0637093844920058,-0.468233939178723,0.0,-0.26049131864716085,-0.26860675777395276,-0.24530326865526442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0,1,0,2.0,0.10204081112036678,0.0,0.9999999489795944,6,1.6752882674651504,128.392,5.407988165667525,1.8882400000000004,0.196,False,False,False,True,0,1,0,0,0,0,0.00392,0.216,0.0,0.196,0.038416000000000006,0.392,0.0,0.0
0.0,0.0,0.0,0.0,2820.0,1.4,1.0,1.0,0.0,1.0,0.0,0.023959479367766046,-0.30618621784789735,-0.21729733479328625,0.0,0.06840735637212836,0.2322486137955739,-0.01573471237542375,-0.14315415869005,-0.177852517788277,0.0,-0.2227326653489641,-0.09805806756909201,-0.24228316512837222,-0.6012911360123924,1.2496598613040857,-0.22360679774997896,-0.098058067569092,0.0,-0.40095821407640775,0.0,0.0,0.0,-0.2894071507412803,-0.13206763594884358,0.0,-1.0637093844920058,-0.468233939178723,0.0,-0.26049131864716085,-0.26860675777395276,-0.24530326865526442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0,1,1,3.0,0.9999999342105307,0.9999999342105307,0.9999999342105307,7,1.936211294714246,130.29700000000003,6.791370673656388,1.8366399999999998,0.152,False,False,False,True,1,0,0,0,0,0,0.023104,0.304,0.023104,0.304,0.023104,0.304,0.0,0.0
0.0,0.0,0.0,0.0,2660.0,1.5,1.0,1.0,0.0,1.0,0.0,0.05627555041015377,-0.30618621784789735,-0.21729733479328625,0.0,0.13116675888004692,0.28698163297867535,0.05414415316447511,-0.07108304075883769,-0.177852517788277,0.0,-0.2227326653489641,-0.09805806756909201,-0.24228316512837222,-0.6012911360123924,0.6970420815910378,-0.22360679774997896,-0.098058067569092,0.0,-0.3441677117066651,0.0,0.0,0.0,-0.2894071507412803,-0.13206763594884358,0.0,-1.0637093844920058,-0.468233939178723,0.0,-0.26049131864716085,-0.26860675777395276,-0.24530326865526442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0,1,1,3.0,0.9999999358974401,0.9999999358974401,0.9999999358974401,7,1.9113922137658104,129.362,6.676069345954999,1.81716,0.156,False,False,False,True,1,0,0,0,0,0,0.024336,0.312,0.024336,0.312,0.024336,0.312,0.0,0.0
0.0,0.0,0.0,0.0,2640.0,1.2,1.0,1.0,0.0,1.0,0.0,0.09667063921313844,-0.30618621784789735,-0.21729733479328625,0.0,0.2096160120149451,0.35539790695755213,0.14149273508934868,0.019005856655177674,-0.177852517788277,0.0,-0.2227326653489641,-0.09805806756909201,-0.24228316512837222,-0.6012911360123924,0.12536851637064333,-0.22360679774997896,-0.098058067569092,0.0,-0.27317958374448675,0.0,0.0,0.0,-0.2894071507412803,-0.13206763594884358,0.0,-1.0637093844920058,-0.468233939178723,0.0,-0.26049131864716085,-0.26860675777395276,-0.24530326865526442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0,1,1,3.0,0.9999999378882026,0.9999999378882026,0.9999999378882026,7,1.8743996029595902,129.062,6.564461616309444,1.80631,0.161,False,False,False,True,1,0,0,0,0,0,0.025921000000000003,0.322,0.025921000000000003,0.322,0.025921000000000003,0.322,0.0,0.0
618.44,0.0,0.0,0.0,2630.0,15.83,1.0,0.0,0.0,0.0,0.0,0.14514474577672,-0.30618621784789735,-0.21729733479328625,0.0,-2.3164499389287743,-1.8476061151622782,0.24631103339919697,0.12711253355199612,-0.177852517788277,0.0,-0.2227326653489641,-0.09805806756909201,-0.24228316512837222,1.2819537469774271,-0.4844166198644441,-0.22360679774997896,-0.098058067569092,0.0,-2.5589973041266263,0.0,0.0,0.0,-0.2894071507412803,-0.13206763594884358,0.0,0.8630593667465126,2.077362938004495,0.0,-0.26049131864716085,-0.26860675777395276,-0.24530326865526442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1,0,0,0,1.0,0.9999999401197641,16700000.0,0.0,6,1.7933409894985128,134.435,8.165617762912982,1.68002,0.167,False,False,False,True,1,0,0,0,0,0,0.027889000000000004,0.334,0.0,0.167,0.0,0.0,0.027889000000000004,0.334
0.0,0.0,0.0,0.0,2600.0,1.1,1.0,1.0,0.0,1.0,0.0,-0.016435609435218615,-0.30618621784789735,-0.21729733479328625,0.0,-0.010041896762769828,0.16383233981669712,-0.10308329430029732,-0.23324305610406534,-0.177852517788277,0.0,-0.2227326653489641,-0.09805806756909201,-0.24228316512837222,-0.6012911360123924,1.7641660700024406,-0.22360679774997896,-0.098058067569092,0.0,-0.47194634203858604,0.0,0.0,0.0,-0.2894071507412803,-0.13206763594884358,0.0,-1.0637093844920058,-0.468233939178723,0.0,-0.26049131864716085,-0.26860675777395276,-0.24530326865526442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0,1,1,3.0,0.9999999319727938,0.9999999319727938,0.9999999319727938,7,1.943252951756343,130.18,6.845699379902684,1.84101,0.147,False,False,False,True,1,0,0,0,0,0,0.021608999999999996,0.294,0.021608999999999996,0.294,0.021608999999999996,0.294,0.0,0.0
610.28,0.0,0.0,0.0,2465.0,12.33,1.0,0.0,0.0,0.0,0.0,0.14514474577672,-0.30618621784789735,-0.21729733479328625,0.0,-2.3164499389287743,-1.8476061151622782,0.24631103339919697,0.12711253355199612,-0.177852517788277,0.0,-0.2227326653489641,-0.09805806756909201,-0.24228316512837222,1.2819537469774271,-0.4844166198644441,-0.22360679774997896,-0.098058067569092,0.0,-2.5589973041266263,0.0,0.0,0.0,-0.2894071507412803,-0.13206763594884358,0.0,0.8630593667465126,2.077362938004495,0.0,-0.26049131864716085,-0.26860675777395276,-0.24530326865526442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1,0,0,0,1.0,0.9999999401197641,16700000.0,0.0,6,1.7933409894985128,134.435,8.165617762912982,1.68002,0.167,False,False,False,True,1,0,0,0,0,0,0.027889000000000004,0.334,0.0,0.167,0.0,0.0,0.027889000000000004,0.334
597.81,0.0,0.0,0.0,2420.0,13.42,1.0,0.0,0.0,0.0,0.0,0.14514474577672,-0.30618621784789735,-0.21729733479328625,0.0,-2.3164499389287743,-1.8476061151622782,0.24631103339919697,0.12711253355199612,-0.177852517788277,0.0,-0.2227326653489641,-0.09805806756909201,-0.24228316512837222,1.2819537469774271,-0.4844166198644441,-0.22360679774997896,-0.098058067569092,0.0,-2.5589973041266263,0.0,0.0,0.0,-0.2894071507412803,-0.13206763594884358,0.0,0.8630593667465126,2.077362938004495,0.0,-0.26049131864716085,-0.26860675777395276,-0.24530326865526442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1,0,0,0,1.0,0.9999999401197641,16700000.0,0.0,6,1.7933409894985128,134.435,8.165617762912982,1.68002,0.167,False,False,False,True,1,0,0,0,0,0,0.027889000000000004,0.334,0.0,0.167,0.0,0.0,0.027889000000000004,0.334
